antecedents_str,consequents_str,rule,support,confidence,lift
Wines,Meat,Wines → Meat,0.42857142857142855,0.8571428571428571,1.726775956284153
Meat,Wines,Meat → Wines,0.42857142857142855,0.8633879781420765,1.726775956284153
Meat,Fish,Meat → Fish,0.40867992766726946,0.8233151183970857,1.675412182055523
Fish,Meat,Fish → Meat,0.40867992766726946,0.8316467341306347,1.6754121820555228
Fish,Fruits,Fish → Fruits,0.40325497287522605,0.8206071757129715,1.6714392934411537
Fruits,Fish,Fruits → Fish,0.40325497287522605,0.8213627992633518,1.6714392934411537
Meat,Fruits,Meat → Fruits,0.4050632911392405,0.8160291438979964,1.662114609854851
Fruits,Meat,Fruits → Meat,0.4050632911392405,0.8250460405156538,1.662114609854851
Fruits,Sweets,Fruits → Sweets,0.40415913200723325,0.8232044198895027,1.6614308182441422
Sweets,Fruits,Sweets → Fruits,0.40415913200723325,0.8156934306569342,1.6614308182441422
Meat,Sweets,Meat → Sweets,0.40687160940325495,0.819672131147541,1.6543017829364606
Sweets,Meat,Sweets → Meat,0.40687160940325495,0.8211678832116788,1.6543017829364604
Fish,Sweets,Fish → Sweets,0.4014466546112116,0.8169273229070837,1.6487620787139317
Sweets,Fish,Sweets → Fish,0.4014466546112116,0.8102189781021898,1.6487620787139317
Meat,Gold,Meat → Gold,0.3860759493670886,0.7777777777777778,1.5555555555555556
Gold,Meat,Gold → Meat,0.3860759493670886,0.7721518987341772,1.5555555555555556
Wines,Fish,Wines → Fish,0.3720614828209765,0.744122965641953,1.5142594296228151
Fish,Wines,Fish → Wines,0.3720614828209765,0.7571297148114076,1.5142594296228151
Fruits,Wines,Fruits → Wines,0.3707052441229656,0.7550644567219152,1.5101289134438305
Wines,Fruits,Wines → Fruits,0.3707052441229656,0.7414104882459313,1.5101289134438305
Wines,Gold,Wines → Gold,0.3770343580470163,0.7540687160940326,1.5081374321880652
Gold,Wines,Gold → Wines,0.3770343580470163,0.7540687160940326,1.5081374321880652
Wines,Sweets,Wines → Sweets,0.37115732368896925,0.7423146473779385,1.4981751824817517
Sweets,Wines,Sweets → Wines,0.37115732368896925,0.7490875912408759,1.4981751824817517
Gold,Fruits,Gold → Fruits,0.3666365280289331,0.7332730560578662,1.4935543278084715
Fruits,Gold,Fruits → Gold,0.3666365280289331,0.7467771639042358,1.4935543278084715
Sweets,Gold,Sweets → Gold,0.36754068716094035,0.7417883211678833,1.4835766423357666
Gold,Sweets,Gold → Sweets,0.36754068716094035,0.7350813743218807,1.4835766423357666
Fish,Gold,Fish → Gold,0.3616636528028933,0.7359705611775529,1.4719411223551058
Gold,Fish,Gold → Fish,0.3616636528028933,0.7233273056057866,1.4719411223551058
